Date,NTFLX_Open,NTFLX_High,NTFLX_Low,NTFLX_Close,NTFLX_Volume,NSDQ_Open,NSDQ_High,NSDQ_Low,NSDQ_Close,NSDQ_Volume,Unemployment_rate,Interest_Rate
2017-04-26,151.529999,152.149994,148.899994,150.169998,9274100,6028.120117,6040.890137,6021.720215,6025.22998,1894210000,4.5,0.9
2017-04-27,150.600006,153.490005,149.300003,153.080002,7719400,6038.470215,6050.700195,6031.589844,6048.939941,1876700000,4.5,0.9
2017-04-28,152.710007,152.970001,150.940002,152.199997,6366200,6072.870117,6074.040039,6040.709961,6047.609863,1995160000,4.5,0.9
2017-05-01,151.910004,157.699997,151.610001,155.350006,9031600,6067.560059,6100.72998,6061.350098,6091.600098,1757000000,4.4,0.91
2017-05-02,155.759995,156.5,154.610001,156.449997,5384800,6102.509766,6102.720215,6081.560059,6095.370117,2146730000,4.4,0.91
2017-05-03,156.289993,156.539993,154.880005,155.589996,3931200,6075.040039,6076.959961,6053.279785,6072.549805,2149360000,4.4,0.91
2017-05-04,155.589996,157.899994,154.550003,157.25,5582300,6075.060059,6080.819824,6054.330078,6075.339844,2056270000,4.4,0.91
2017-05-05,158.550003,158.589996,155.899994,156.600006,5341700,6091.689941,6100.759766,6067.160156,6100.759766,1899570000,4.4,0.91
2017-05-08,156.550003,157.639999,155.300003,156.380005,4818800,6100.660156,6106.120117,6083.060059,6102.660156,1909710000,4.4,0.91
2017-05-09,156.100006,157.850006,155.970001,157.460007,3911000,6111.819824,6133,6107.589844,6120.589844,1997490000,4.4,0.91
2017-05-10,157.820007,161.100006,156.559998,160.279999,6869900,6121.640137,6131.640137,6103.870117,6129.140137,2108000000,4.4,0.91
2017-05-11,160.330002,160.520004,157.550003,158.539993,5677400,6110.049805,6120.200195,6075.680176,6115.959961,1950910000,4.4,0.91
2017-05-12,159.110001,160.839996,158.509995,160.809998,5092900,6119.27002,6122.839844,6105.419922,6121.22998,1740960000,4.4,0.91
2017-05-15,160.25,161.779999,159.759995,160.020004,4972000,6128.109863,6153.040039,6124.790039,6149.669922,1850790000,4.4,0.91
2017-05-16,160.5,161.179993,159.330002,159.410004,3464900,6160.52002,6170.160156,6139.100098,6169.870117,1999330000,4.4,0.91
2017-05-17,158.089996,158.779999,153,153.199997,8184500,6108.620117,6122.870117,6009.47998,6011.240234,2347480000,4.4,0.91
2017-05-18,153.610001,156.889999,153.240005,155.699997,6802700,5998.459961,6073.450195,5996.810059,6055.129883,2131520000,4.4,0.91
2017-05-19,156.149994,158.050003,155.910004,157.020004,4091500,6070.22998,6106.549805,6070.22998,6083.700195,1905520000,4.4,0.91
2017-05-22,157.860001,158.600006,156.429993,157.160004,3744100,6098.25,6135.919922,6097.240234,6133.620117,1726230000,4.4,0.91
2017-05-23,157.75,158.309998,156.800003,157.949997,3370900,6149.549805,6150.910156,6121.790039,6138.709961,1705860000,4.4,0.91
2017-05-24,158.350006,158.479996,157.169998,157.75,2970800,6154.180176,6166.089844,6139.330078,6163.02002,1666050000,4.4,0.91
2017-05-25,161,164.100006,160.550003,163.050003,8561000,6183.02002,6217.339844,6174.52002,6205.259766,1767690000,4.4,0.91
2017-05-26,162.839996,163.050003,161.119995,162.429993,4834300,6207.040039,6211.52002,6196.660156,6210.189941,1571040000,4.4,0.91
2017-05-30,163.600006,164.75,162.710007,163.220001,4828600,6204.180176,6217.129883,6200.410156,6203.189941,1688480000,4.4,0.91
2017-05-31,163.610001,164,160.740005,163.070007,5328900,6221.629883,6221.990234,6164.069824,6198.52002,2209400000,4.4,0.91
2017-06-01,163.520004,163.929993,161.699997,162.990005,3896300,6215.910156,6247.069824,6200.450195,6246.830078,1943610000,4.3,1.04
2017-06-02,163.419998,165.360001,162.800003,165.179993,4259100,6261.589844,6308.759766,6253.77002,6305.799805,1820000000,4.3,1.04
2017-06-05,165.490005,165.5,163.429993,165.059998,3875200,6305.470215,6310.620117,6292.149902,6295.680176,1739820000,4.3,1.04
2017-06-06,164.949997,166.820007,164.509995,165.169998,4382100,6281.879883,6304.209961,6269.870117,6275.060059,1889690000,4.3,1.04
2017-06-07,165.600006,166.399994,164.410004,165.610001,3353100,6290.439941,6302.779785,6267.180176,6297.379883,1822270000,4.3,1.04
2017-06-08,166.119995,166.869995,164.839996,165.880005,3719100,6311.72998,6324.060059,6282.930176,6321.759766,2128780000,4.3,1.04
2017-06-09,166.270004,166.270004,154.5,158.029999,10292000,6330.25,6341.700195,6137.680176,6207.919922,3152050000,4.3,1.04
2017-06-12,155.300003,155.529999,148.309998,151.440002,14114500,6153.560059,6183.810059,6110.669922,6175.459961,2586540000,4.3,1.04
2017-06-13,154.380005,155.679993,150.130005,152.720001,8484700,6206.120117,6226.410156,6180.040039,6220.370117,2062110000,4.3,1.04
2017-06-14,154.339996,155.619995,150.279999,152.199997,6461800,6237.459961,6237.529785,6153.549805,6194.890137,1940440000,4.3,1.04
2017-06-15,149.440002,152.559998,147.300003,151.759995,7319700,6127.049805,6170.149902,6107.850098,6165.5,1858130000,4.3,1.04
2017-06-16,151.449997,153.529999,150.389999,152.380005,6909700,6154.279785,6161.560059,6125.5,6151.759766,3120640000,4.3,1.04
2017-06-19,154.289993,155.580002,152.410004,153.399994,6544300,6196.850098,6243.310059,6194,6239.009766,1976970000,4.3,1.04
2017-06-20,153.679993,154.5,151.399994,152.050003,4878700,6229.620117,6234.009766,6186.939941,6188.029785,2570130000,4.3,1.04
2017-06-21,152.5,155.380005,152.259995,155.029999,5803400,6202.75,6236.660156,6200.859863,6233.950195,2401440000,4.3,1.04
2017-06-22,155.130005,155.199997,153.699997,154.889999,3769200,6239.149902,6257.680176,6221.959961,6236.689941,2170250000,4.3,1.04
2017-06-23,155.009995,158.190002,153.759995,158.020004,6250800,6234.350098,6269.370117,6218.779785,6265.25,2704600000,4.3,1.04
2017-06-26,158.779999,159.970001,156.559998,157.5,6016000,6292.72998,6303.450195,6233.430176,6247.149902,2150630000,4.3,1.04
2017-06-27,156.619995,156.979996,150.720001,151.029999,7424300,6227.899902,6234.319824,6146.620117,6146.620117,2181830000,4.3,1.04
2017-06-28,151.639999,154.199997,150.119995,153.410004,5589900,6173.100098,6238.290039,6144.799805,6234.410156,2069400000,4.3,1.04
2017-06-29,152.820007,152.820007,148,150.089996,7142500,6215.490234,6216.600098,6087.810059,6144.350098,2402250000,4.3,1.04
2017-06-30,149.759995,150.710007,148.419998,149.410004,5213300,6166.839844,6170.629883,6129.040039,6140.419922,1998330000,4.3,1.04
2017-07-03,149.800003,150.449997,145.800003,146.169998,3908200,6173.290039,6177.359863,6106.120117,6110.060059,1099560000,4.3,1.15
2017-07-05,146.580002,148.259995,145.580002,147.610001,4627800,6122.060059,6163.620117,6100.419922,6150.859863,1872130000,4.3,1.15
2017-07-06,146.130005,147.270004,144.25,146.25,5486500,6109.600098,6127.97998,6081.959961,6089.459961,1990590000,4.3,1.15
2017-07-07,146.649994,150.75,146.649994,150.179993,5561300,6111.209961,6164.939941,6111.209961,6153.080078,1700630000,4.3,1.15
2017-07-10,150.339996,153.229996,149.649994,152.669998,5360600,6156.029785,6191.27002,6141.830078,6176.390137,1675470000,4.3,1.15
2017-07-11,152.369995,155.229996,151.550003,154.330002,4898600,6171.25,6200.580078,6149.870117,6193.299805,1808110000,4.3,1.15
2017-07-12,155.770004,158.800003,155.770004,158.75,8481800,6238.899902,6265.640137,6236.819824,6261.169922,1820550000,4.3,1.15
2017-07-13,158.509995,160.130005,156.979996,158.210007,6700100,6269.100098,6281.450195,6251.259766,6274.439941,1803810000,4.3,1.15
2017-07-14,159.300003,161.350006,157.970001,161.119995,5549200,6289.080078,6321.759766,6278.700195,6312.470215,1608120000,4.3,1.15
2017-07-17,162.910004,163.550003,160.020004,161.699997,17496700,6320.350098,6330.970215,6307.339844,6314.430176,1558030000,4.3,1.15
2017-07-18,176.119995,185,174.240005,183.600006,41587400,6304.819824,6344.549805,6291.069824,6344.310059,1762400000,4.3,1.15
2017-07-19,182.970001,187.169998,181.75,183.860001,17344300,6363.240234,6387.72998,6362.189941,6385.040039,1862910000,4.3,1.15
2017-07-20,183.839996,185.919998,182.699997,183.600006,7907200,6396.459961,6398.259766,6365.680176,6390,1818880000,4.3,1.15
2017-07-21,182.720001,191.5,182.710007,188.539993,9277400,6383.049805,6388.779785,6365.120117,6387.75,1797100000,4.3,1.15
2017-07-24,188.690002,190.25,187.009995,187.910004,8797300,6387.819824,6417.700195,6380.609863,6410.810059,1735520000,4.3,1.15
2017-07-25,187.789993,188.660004,185.809998,186.970001,5374500,6407.589844,6425.450195,6396.870117,6412.169922,1925230000,4.3,1.15
2017-07-26,187.699997,189.699997,187.509995,189.080002,4479300,6425.930176,6432.379883,6416.299805,6422.75,1988040000,4.3,1.15
2017-07-27,189.889999,190,179.380005,182.679993,11221000,6459.759766,6460.839844,6318.620117,6382.189941,2483560000,4.3,1.15
2017-07-28,182,185.029999,181.179993,184.039993,6201900,6350.27002,6379.700195,6337.220215,6374.680176,1860770000,4.3,1.15
2017-07-31,184.259995,184.970001,180.649994,181.660004,4883600,6394.689941,6396.589844,6338.790039,6348.120117,1891710000,4.3,1.15
2017-08-01,182.490005,184.619995,181.429993,182.029999,5112700,6372.160156,6375.75,6345.75,6362.939941,1812590000,4.4,1.16
2017-08-02,182.220001,182.570007,177.809998,180.740005,5771300,6393.100098,6394.209961,6313.430176,6362.649902,2104130000,4.4,1.16
2017-08-03,180.529999,181.220001,178.020004,179.229996,4627700,6366.240234,6368.529785,6331.140137,6340.339844,2113440000,4.4,1.16
2017-08-04,179.600006,181,178.5,180.270004,4491100,6350.790039,6361.490234,6329.72998,6351.560059,1907170000,4.4,1.16
2017-08-07,181,182.270004,179.100006,181.330002,4609800,6361.060059,6386.029785,6356.22998,6383.77002,1701550000,4.4,1.16
2017-08-08,181.369995,181.910004,177.449997,178.360001,6104000,6373.330078,6423.350098,6355.879883,6370.459961,1914670000,4.4,1.16
2017-08-09,171.429993,175.960007,170.009995,175.779999,9670500,6322.919922,6355.040039,6309.439941,6352.330078,2033760000,4.4,1.16
2017-08-10,174.029999,174.449997,167.600006,169.139999,9693100,6312.649902,6318.279785,6214.410156,6216.870117,2204700000,4.4,1.16
2017-08-11,169.860001,172.580002,169,171.399994,5022300,6222.180176,6266.890137,6216.189941,6256.560059,1794850000,4.4,1.16
2017-08-14,169.800003,172.449997,168.800003,171,7468400,6306.109863,6346.830078,6305.549805,6340.22998,1698560000,4.4,1.16
2017-08-15,171.529999,171.880005,168.25,168.5,5656100,6350.509766,6350.740234,6324.75,6333.009766,1580060000,4.4,1.16
2017-08-16,167.5,170.5,166.25,169.979996,7013600,6348.109863,6374.560059,6330.27002,6345.109863,1804730000,4.4,1.16
2017-08-17,169.229996,170.580002,165.720001,166.089996,5229200,6322.720215,6334.22998,6221.910156,6221.910156,2041220000,4.4,1.16
2017-08-18,165.949997,169.970001,165.800003,166.539993,7385700,6222.459961,6254.220215,6193.379883,6216.529785,1964590000,4.4,1.16
2017-08-21,166.910004,168.990005,164.229996,166.759995,6480700,6216.319824,6226.930176,6177.189941,6213.129883,1576070000,4.4,1.16
2017-08-22,167.759995,169.929993,167.039993,169.339996,4886300,6241.209961,6302.839844,6241.209961,6297.47998,1597700000,4.4,1.16
2017-08-23,168.350006,169.639999,166.699997,169.059998,4632300,6263.470215,6291.299805,6263.290039,6278.410156,1533220000,4.4,1.16
2017-08-24,169.860001,171.240005,166.149994,168.130005,5361700,6294.819824,6302.850098,6244.569824,6271.330078,1616780000,4.4,1.16
2017-08-25,168.580002,168.75,165.5,165.949997,4064000,6293.810059,6308.720215,6257.100098,6265.640137,1442900000,4.4,1.16
2017-08-28,166.429993,168.669998,165.600006,167.119995,3657300,6286.009766,6292.259766,6267.850098,6283.02002,1558690000,4.4,1.16
2017-08-29,165,169.679993,164.729996,168.809998,4620900,6228.899902,6311.259766,6228.72998,6301.890137,1637640000,4.4,1.16
2017-08-30,169.5,174.850006,169.369995,174.690002,8034700,6308.680176,6374.470215,6303.569824,6368.310059,1712070000,4.4,1.16
2017-08-31,175.449997,176.240005,173.860001,174.710007,6941000,6385.799805,6435.27002,6383.580078,6428.660156,1885710000,4.4,1.16
2017-09-01,175.550003,176.479996,173.919998,174.740005,3813000,6442.169922,6449.649902,6417.870117,6435.330078,1488040000,4.2,1.15
2017-09-05,173.399994,175.880005,172.440002,174.520004,4589500,6414.819824,6426.509766,6334.589844,6375.569824,1886950000,4.2,1.15
2017-09-06,175.25,179.460007,173.729996,179.25,8742600,6394.350098,6407.399902,6356.200195,6393.310059,1906030000,4.2,1.15
2017-09-07,178.800003,180.350006,177.100006,179,6036100,6402.939941,6413.069824,6379.810059,6397.870117,1998380000,4.2,1.15
2017-09-08,178.449997,180.389999,176.25,176.419998,4590800,6389.649902,6391.410156,6354.959961,6360.189941,1785560000,4.2,1.15
2017-09-11,178.100006,182.470001,178.029999,181.740005,5979400,6411.180176,6439.109863,6410.709961,6432.259766,1819300000,4.2,1.15
2017-09-12,182.550003,185.330002,180.639999,185.149994,6689600,6448.810059,6455.029785,6429.540039,6454.279785,1745090000,4.2,1.15
2017-09-13,184.070007,184.5,182.550003,183.639999,4320300,6440.720215,6460.419922,6433.200195,6460.189941,1942090000,4.2,1.15
2017-09-14,183.25,185.289993,182.070007,182.630005,4510700,6439.459961,6455.319824,6424.040039,6429.080078,1809170000,4.2,1.15
2017-09-15,182.729996,184.929993,181.429993,182.350006,5591700,6426.160156,6464.27002,6419.649902,6448.470215,2821110000,4.2,1.15
2017-09-18,183.610001,185.449997,182.729996,184.619995,5359600,6460.100098,6477.77002,6438.410156,6454.640137,1874440000,4.2,1.15
